feature,importance
OverallQual,0.5289225597483488
GrLivArea,0.12136235851650752
TotalBsmtSF,0.04648703082271356
BsmtFinSF1,0.03895884602847518
GarageArea,0.029387225877878703
GarageCars,0.0261665986214568
1stFlrSF,0.018213438071476122
OverallCond,0.01330363475496053
LotArea,0.012507346723304759
YearBuilt,0.011153428409355567
GarageYrBlt,0.010703770975010064
CentralAir_Y,0.008382026776910653
YearRemodAdd,0.008138642629686218
LotFrontage,0.005671904368490457
BsmtQual_Ex,0.005381721553392549
BsmtUnfSF,0.005317121099940729
Id,0.004580246824631448
OpenPorchSF,0.004306735499706553
KitchenAbvGr,0.004260214852242549
CentralAir_N,0.004027168653113513
GarageType_Detchd,0.003703567273507815
GarageType_Attchd,0.00358456190904578
2ndFlrSF,0.0034602737091394904
MoSold,0.0032356354176925764
WoodDeckSF,0.0032326797025552757
MSZoning_C (all),0.0031486829322959096
MSZoning_RM,0.0030724225586886925
MasVnrArea,0.0024243645107932263
EnclosedPorch,0.0023637374839106107
MSSubClass,0.002069809562930358
TotRmsAbvGrd,0.0018137901539873461
YrSold,0.0016398565749517616
BsmtQual_Gd,0.0015732784402935091
BedroomAbvGr,0.0015597094906394933
GarageFinish_Unf,0.0013933376857092612
Fireplaces,0.0012258846548974817
ExterQual_TA,0.0011141151480905437
FireplaceQu_None,0.0010838971894459733
PavedDrive_N,0.001073815147097891
LotShape_Reg,0.0010537351857223902
Fence_GdWo,0.0009967363115545027
SaleCondition_Abnorml,0.0009435124702782829
KitchenQual_Gd,0.000924240953406719
PavedDrive_Y,0.0009100823216548717
MSZoning_RL,0.0008903394345395319
GarageCond_TA,0.0008779912122297093
KitchenQual_TA,0.0008618411755391802
LandSlope_Gtl,0.00084809924022526
SaleCondition_Normal,0.0008211728919408475
FullBath,0.0008114036379470031
Exterior2nd_VinylSd,0.0007978435304466466
Functional_Typ,0.0007910731682911014
BsmtExposure_Gd,0.0007595110171715152
ExterCond_TA,0.0007593589912380192
BsmtFullBath,0.0007454234190167684
HalfBath,0.0007143506288915022
Neighborhood_IDOTRR,0.0006596978485473383
Heating_Grav,0.0006560678769156386
ExterQual_Ex,0.0006528706181518517
ExterCond_Fa,0.000642857830211112
BsmtFinType1_GLQ,0.0006254925384948116
Functional_Maj2,0.0006016110574396278
Neighborhood_Crawfor,0.0005872570334361981
GarageFinish_Fin,0.0005762086943670126
FireplaceQu_Gd,0.0005716685163732478
Exterior1st_VinylSd,0.0005470241086846935
ExterQual_Gd,0.0005455558723240703
BsmtCond_Fa,0.0005452121777318724
HeatingQC_Ex,0.000543443936888313
HeatingQC_Fa,0.0005336176636454155
KitchenQual_Fa,0.0005180411781062071
LandContour_Lvl,0.0005051135599971425
LotConfig_Inside,0.0004723135309479383
GarageFinish_RFn,0.00047109689025204114
Exterior1st_Wd Sdng,0.0004656583836382133
BsmtExposure_No,0.00046397663751916165
Foundation_CBlock,0.00046040537017259195
KitchenQual_Ex,0.000457148566009035
LotShape_IR1,0.0004566354429635527
HouseStyle_1.5Fin,0.0004543323324254294
Neighborhood_NAmes,0.00044921768633399085
HeatingQC_TA,0.00044626002527933106
BsmtFinSF2,0.0004363125996341233
RoofStyle_Gable,0.0004263039686980808
GarageQual_TA,0.00040935453080001593
Neighborhood_OldTown,0.00040028045651073593
LandSlope_Mod,0.00038799801770839136
BldgType_1Fam,0.00038162048397868574
Fence_None,0.00037077914191020235
HeatingQC_Gd,0.0003671873098040528
SaleType_WD,0.00036635803183767226
BsmtFinType1_Unf,0.0003611676285558748
BsmtCond_TA,0.00036003778726434866
Neighborhood_Edwards,0.00035582573332523944
Electrical_SBrkr,0.00035009279171144085
Neighborhood_CollgCr,0.00034762979087250736
ExterQual_Fa,0.0003430417515442719
Foundation_BrkTil,0.0003271132549889449
Condition1_Norm,0.00032696273634493146
Exterior1st_MetalSd,0.0003109188953102978
FireplaceQu_TA,0.0003005924172669509
Foundation_PConc,0.00028737093990397497
Functional_Mod,0.0002801534860956453
PavedDrive_P,0.0002791520899356885
BsmtFinType1_LwQ,0.0002773355168491848
HouseStyle_SLvl,0.0002770758656131437
LotConfig_Corner,0.0002766955812592805
BsmtFinType1_ALQ,0.00027245858914529527
ScreenPorch,0.00026997800386977113
RoofStyle_Hip,0.000269517389707485
BsmtQual_TA,0.0002604038932627509
Alley_None,0.00024744728172005075
BldgType_Duplex,0.00024430438980025635
MasVnrType_BrkFace,0.00023857282572928298
Heating_GasA,0.0002352543034664693
SaleType_New,0.00022171518739763253
BsmtHalfBath,0.00022124781382119359
Exterior2nd_MetalSd,0.0002164409026666091
LowQualFinSF,0.00021603060220618369
Exterior1st_BrkFace,0.00021165245753301248
ExterCond_Gd,0.00020249650818237442
MiscVal,0.000198496045284963
HouseStyle_1Story,0.00018913643163840057
Exterior2nd_Wd Sdng,0.00018781314803537023
Exterior1st_BrkComm,0.00018763017627114735
HouseStyle_2Story,0.00018723018006067485
SaleType_COD,0.0001870228894767321
LandContour_HLS,0.00018571911796119638
BsmtFinType1_BLQ,0.00018541356580847673
Condition1_Artery,0.0001810990099487406
Alley_Grvl,0.00017604300865009892
BsmtExposure_Mn,0.00017477592347468166
Fence_MnPrv,0.0001715459089434483
Exterior2nd_HdBoard,0.00016988404916707785
BsmtExposure_Av,0.00016947845864764336
Electrical_FuseA,0.00016903033121756547
Condition1_Feedr,0.00016385333899395166
Neighborhood_Gilbert,0.00016262916082780774
Exterior2nd_Plywood,0.00016104278632697496
BsmtFinType1_Rec,0.00015774759195417344
GarageCond_None,0.00014798762403005073
Exterior1st_HdBoard,0.0001384254123027933
GarageQual_Fa,0.0001342441979911786
SaleCondition_Alloca,0.0001340312619991967
GarageQual_None,0.00013298206982137443
BsmtQual_None,0.00013131694529876613
Exterior1st_Plywood,0.00012886013112056645
Neighborhood_Sawyer,0.0001283163701018137
GarageType_None,0.00012640472782283422
MasVnrType_Stone,0.00012571198984354
RoofMatl_CompShg,0.00012219775990741474
LotConfig_CulDSac,0.00012055027431214295
SaleCondition_Partial,0.00011967422108707449
MasVnrType_BrkCmn,0.00011925471193229099
LotConfig_FR2,0.00011874229574669589
Neighborhood_Somerst,0.00011432910908256829
BsmtFinType2_BLQ,0.00011343025392120006
Neighborhood_BrkSide,0.00011262039732642698
Fence_GdPrv,0.00010828740418835537
RoofStyle_Flat,0.00010726872378507619
BsmtCond_None,0.00010326445405211561
Neighborhood_ClearCr,9.922095619439928e-05
Exterior2nd_Brk Cmn,9.686501397803408e-05
Neighborhood_NWAmes,9.599966679323016e-05
Electrical_FuseF,9.371879395867046e-05
Exterior1st_CemntBd,9.216618305657691e-05
Exterior1st_AsbShng,9.196010944019579e-05
GarageFinish_None,9.168287994293412e-05
Exterior2nd_AsbShng,8.801589778407221e-05
GarageType_CarPort,8.73105443798009e-05
MiscFeature_Shed,8.347146416454008e-05
Neighborhood_NridgHt,8.149847787119075e-05
GarageType_BuiltIn,8.149471309935859e-05
Exterior2nd_Wd Shng,8.09478694251921e-05
FireplaceQu_Po,7.980324889793629e-05
MiscFeature_None,7.936993479176346e-05
LandContour_Low,7.221341906156624e-05
BldgType_TwnhsE,6.907171027135664e-05
BsmtCond_Gd,6.871383712534476e-05
Neighborhood_MeadowV,6.85020119577005e-05
Condition1_PosN,6.676458526603275e-05
BsmtQual_Fa,6.416962515136293e-05
Alley_Pave,6.28769027749125e-05
BsmtFinType2_Unf,6.17912736966226e-05
Exterior2nd_CmentBd,6.107780400625114e-05
3SsnPorch,6.0936357658326445e-05
Street_Pave,6.015057344244391e-05
GarageType_Basment,5.98096007908429e-05
Neighborhood_Mitchel,5.943586178663687e-05
FireplaceQu_Ex,5.3011166063341705e-05
Neighborhood_NoRidge,5.2874188224470246e-05
Neighborhood_SWISU,5.178734809036824e-05
MSZoning_FV,5.157719921041233e-05
Exterior2nd_Stucco,4.949170900923966e-05
Neighborhood_Timber,4.7746030618118866e-05
LandContour_Bnk,4.745330231890186e-05
Condition1_RRAn,4.587169249488638e-05
HouseStyle_1.5Unf,4.526896752661459e-05
BsmtFinType2_None,4.445418254351945e-05
GarageCond_Fa,4.3955554443222326e-05
Neighborhood_StoneBr,4.301691491546531e-05
Functional_Min2,4.1524094710613915e-05
MSZoning_RH,4.032320818594424e-05
Exterior1st_WdShing,3.884349677176809e-05
Functional_Maj1,3.6250014521134e-05
SaleCondition_Family,3.3626628094088045e-05
BldgType_2fmCon,3.208265625228309e-05
BsmtFinType2_Rec,3.113062728341906e-05
Street_Grvl,3.1061127459683405e-05
Exterior1st_Stucco,2.8917860112277202e-05
Heating_OthW,2.7392055408458117e-05
BsmtCond_Po,2.6594127609032187e-05
Neighborhood_SawyerW,2.6081834852887342e-05
BsmtFinType1_None,2.5941903944075772e-05
Exterior2nd_Stone,2.5757984580451898e-05
Foundation_Slab,2.4915193159936882e-05
BsmtFinType2_LwQ,2.3861506234002215e-05
Condition2_Norm,2.348519659946742e-05
LotShape_IR2,2.3278399631339187e-05
Electrical_Mix,2.2646237742710457e-05
Functional_Min1,2.1297770065877536e-05
Neighborhood_Veenker,1.8592989686798383e-05
Heating_GasW,1.8108511044914116e-05
BldgType_Twnhs,1.807742696941139e-05
RoofMatl_Tar&Grv,1.6428612145868055e-05
Neighborhood_NPkVill,1.5258106858143308e-05
LandSlope_Sev,1.5212621808024674e-05
